data,hora,maquina
01/05/2024;08:00;1
01/05/2024;20:30;2
01/05/2024;09:00;1
02/05/2024;08:25;3
02/05/2024;20:55;2
02/05/2024;09:25;4
03/05/2024;08:50;1
03/05/2024;21:20;2
03/05/2024;09:50;2
04/05/2024;09:15;3
04/05/2024;21:45;1
04/05/2024;10:15;4
05/05/2024;09:40;1
05/05/2024;22:10;2
05/05/2024;10:40;1
06/05/2024;10:05;3
06/05/2024;22:35;1
06/05/2024;11:05;1
07/05/2024;10:30;4
07/05/2024;23:00;1
07/05/2024;11:30;4
08/05/2024;10:55;1
08/05/2024;23:25;4
08/05/2024;11:55;4
09/05/2024;11:20;4
09/05/2024;23:50;1
09/05/2024;12:20;1
10/05/2024;11:45;2
10/05/2024;00:15;1
10/05/2024;12:45;3
11/05/2024;12:10;1
11/05/2024;00:40;2
11/05/2024;13:10;1
12/05/2024;12:35;2
12/05/2024;01:05;1
12/05/2024;13:35;4
13/05/2024;13:00;1
13/05/2024;01:30;2
13/05/2024;14:00;1
14/05/2024;13:25;2
14/05/2024;01:55;2
14/05/2024;14:25;2
15/05/2024;13:50;1
15/05/2024;02:20;3
15/05/2024;14:50;3
16/05/2024;14:15;3
16/05/2024;02:45;4
16/05/2024;15:15;4
17/05/2024;14:40;4
17/05/2024;03:10;3
17/05/2024;15:40;3
18/05/2024;15:05;2
18/05/2024;03:35;2
18/05/2024;16:05;2
19/05/2024;15:30;3
19/05/2024;04:00;3
19/05/2024;16:30;3
20/05/2024;15:55;4
20/05/2024;04:25;4
20/05/2024;16:55;4
21/05/2024;16:20;1
21/05/2024;04:50;2
21/05/2024;17:20;1
22/05/2024;16:45;3
22/05/2024;05:15;4
22/05/2024;17:45;1
23/05/2024;17:10;2
23/05/2024;05:40;2
23/05/2024;18:10;3
24/05/2024;17:35;3
24/05/2024;06:05;1
24/05/2024;18:35;4
25/05/2024;18:00;4
25/05/2024;06:30;4
25/05/2024;19:00;1
26/05/2024;18:25;2
26/05/2024;06:55;3
26/05/2024;19:25;1
27/05/2024;18:50;4
27/05/2024;07:20;1
27/05/2024;19:50;2
28/05/2024;19:15;3
28/05/2024;07:45;4
28/05/2024;20:15;2
29/05/2024;19:40;1
29/05/2024;08:10;3
29/05/2024;20:40;1
30/05/2024;20:05;4
30/05/2024;08:35;1
30/05/2024;21:05;2
